-2.381259811111111s -77.23365765w
-2.3807184472222223s -77.50278890555556w
-2.3802341694444444s -77.50264318888888w
-2.3811171055555556s -77.5027661w
-2.381095488888889s -77.50276867777778w
-2.381125030555556s -77.50287484444445w
-2.3811063194444446s -77.50287560833333w
-2.3810564916666666s -77.5027122w
-2.380773797222222s -77.50275013611112w
-2.3807742083333334s -77.50276705277778w
-2.380766788888889s -77.5027667388889w
-2.380764188888889s -77.50274058333333w
-2.3808076472222224s -77.50274422222222w
-2.3808059833333335s -77.50273564166666w
-2.3808001305555555s -77.50269862222223w
-2.3807164944444446s -77.50270914444444w
-2.380722027777778s -77.50277351388888w
-2.3807128416666665s -77.50277506944444w
-2.3806954583333333s -77.502771725w
-2.3807024194444444s -77.50288361111112w
-2.380740416666667s -77.502795725w
-2.3807447222222224s -77.50281855277778w
-2.380745166666667s -77.5028269138889w
-2.380784561111111s -77.50282435833333w
-2.380779197222222s -77.50279171388888w
-2.3807655305555557s -77.502793175w
-2.3807677916666665s -77.50281724166666w
-2.380751761111111s -77.50290840277778w
-2.3807050444444444s -77.50290676666667w
-2.3807309666666665s -77.50319419166667w
-2.380776527777778s -77.50319026388888w
-2.3808198583333335s -77.50253739722223w
-2.380702605555556s -77.50254985w
-2.3808271444444444s -77.50265022222223w
-2.3807089777777777s -77.50273226944445w
-2.380622286111111s -77.50273938888888w
-2.380624663888889s -77.50275944722222w
-2.380645136111111s -77.50275860277777w
